ID,Name,Phone,Country,Salary,Pet,Qualification,Experience,WorkHoursPerMonth,Address
0,James Diaz,366-451-1067x53778,Germany,45795.0,Dog,PhD,8.0,95.5,
1,Dana Graves,+1-924-283-7914,Germany,30860.0,Dog,PhD,5.0,17.0,
2,Thomas Smith,001-298-884-7573x81185,Ukraine,84886.0,Cat,PhD,12.0,149.7,
3,Christopher King,(754)403-2678,London,,Cat,MSc,7.0,188.6,
4,Casey Snyder,514.295.7109x6835,London,67194.0,Fish,BSc,11.0,43.8,
5,Kathleen Dean,001-569-535-4348x24461,London,74131.0,Fish,BSc,12.0,50.7,
6,Marcus Nguyen,+1-971-441-8499x63987,Germany,90263.0,Fish,BSc,12.0,248.2,
7,Melissa Williams,965.681.9908,Italy,46023.0,Cat,School,8.0,122.8,
8,,377.573.0490,Germany,71090.0,Fish,BSc,11.0,24.1,
9,Brandy Stone,446.639.3720x1024,Italy,97221.0,Dog,BSc,12.0,151.5,
10,Mark Roberts,001-855-934-6431x84650,Japan,94820.0,Cat,MSc,12.0,48.5,
11,James Harvey,(689)338-4466x857,Germany,30769.0,Fish,School,4.0,10.0,
12,Mariah Hampton,229-769-3761,Germany,89735.0,Dog,School,12.0,113.9,
13,Robert Walker,(332)207-6299x995,Germany,92955.0,Fish,PhD,12.0,10.0,
14,Nicole Hess,972.267.7487x6387,London,94925.0,Bird,School,12.0,10.0,
15,,280.571.3218x4233,London,97969.0,Fish,School,12.0,41.7,
16,Amy Yoder,949.379.5775x15889,Italy,35311.0,Bird,MSc,5.0,10.0,
17,Randall Hernandez,513.322.0600,Italy,83707.0,Fish,BSc,12.0,115.1,
18,Danielle Rush,(841)357-4425x99860,Germany,58693.0,Fish,School,8.0,10.0,
19,Michael Johnson,762.401.3033,Italy,55658.0,Cat,School,7.0,10.0,
20,Samantha Camacho,001-465-410-7026x98311,London,48431.0,Cat,MSc,9.0,195.0,
21,Robert Moran,642-777-0629,Italy,32747.0,Bird,School,5.0,10.2,
22,Priscilla Reeves MD,956.744.9092x771,Japan,89150.0,Cat,School,12.0,95.9,
23,Robert Vasquez PhD,,London,95725.0,Dog,MSc,12.0,10.0,
24,Amanda Marshall,+1-625-859-5613,Japan,65773.0,Dog,PhD,10.0,11.3,
25,Shane Lewis,001-573-850-0539,Italy,97435.0,Bird,PhD,12.0,108.5,
26,Christopher Graves,246.628.3733x298,Ukraine,86886.0,Dog,School,12.0,10.0,
27,Tracie Boyd,553-376-3977x7979,Germany,96803.0,Dog,School,12.0,134.4,
28,Shelly Warren,6209826399,London,61551.0,Fish,BSc,9.0,10.0,
29,Paul Tate,829-559-0479,Japan,41394.0,Cat,School,6.0,12.2,
30,Jason Wilcox,,Ukraine,99092.0,Dog,BSc,12.0,38.9,
31,Michael Ferguson,(245)499-2094,Ukraine,33890.0,Dog,PhD,7.0,219.1,
32,Jacob Moss,+1-439-536-4517,London,71606.0,Cat,School,11.0,70.3,
33,Katelyn Jackson MD,(869)954-2415x70337,London,40627.0,Dog,School,5.0,10.0,
34,Dana Sutton,903.320.3639,Ukraine,38792.0,Dog,MSc,7.0,121.0,
35,Sandra Jensen,969-730-0261x17450,Germany,73001.0,Cat,School,10.0,10.0,
36,David Thompson,439.368.1606x5981,Germany,53897.0,Fish,PhD,9.0,74.8,
37,Stephen Vaughn,510-987-2189,Japan,98148.0,Dog,School,12.0,10.0,
38,John Wilson,864-231-3248,Germany,53483.0,Cat,BSc,7.0,10.0,
39,Kimberly Kidd,488-617-5119x58854,Ukraine,78555.0,Dog,School,12.0,98.2,
40,Robert Frost,+1-897-343-0892,Ukraine,47159.0,Dog,BSc,8.0,121.0,
41,Wendy Contreras,001-764-518-7197x171,Italy,65920.0,Fish,MSc,11.0,83.1,
42,Robyn Perez,771.951.0708x081,Ukraine,97121.0,Bird,School,12.0,85.6,
43,Michele Villegas,(450)676-3792,Germany,99479.0,Bird,MSc,12.0,69.4,
44,Sonya Nelson,001-923-579-2183x86524,Japan,49457.0,Cat,MSc,6.0,10.0,
45,Jordan Grimes,+1-316-477-1223,Italy,96557.0,Bird,School,12.0,24.6,
46,Matthew Weaver,571-490-9227,Germany,82995.0,Cat,BSc,12.0,36.9,
47,Miss Jodi Cruz,+1-235-756-7552x01707,Japan,70757.0,Bird,School,12.0,176.5,
48,Valerie Bowman,820-335-6542x9230,Germany,39692.0,Fish,BSc,7.0,74.1,
49,Nathaniel Solis,810-678-7556x4329,Italy,75758.0,Cat,MSc,10.0,10.0,
50,Kelly Campos,(357)686-4314x901,Ukraine,95697.0,Bird,PhD,12.0,128.1,
51,Jason Holden,001-952-537-8545x7282,Italy,67065.0,Fish,School,10.0,28.6,
52,Natalie Pope,283.254.9175x9819,Ukraine,62606.0,Bird,PhD,9.0,10.0,
53,Daisy Carroll,(643)979-0080,Italy,41534.0,Dog,BSc,7.0,102.7,
54,Crystal Santos,001-840-515-5191x0442,London,70397.0,Dog,School,12.0,173.5,
55,Angela Butler,(297)443-9226x262,Germany,31016.0,Fish,PhD,6.0,124.1,
56,Betty Estrada,5363857795,Germany,85591.0,Dog,PhD,12.0,10.0,
57,Tammy Bradford,+1-750-503-2045,London,53247.0,Dog,School,8.0,22.3,
58,Stephanie Nelson,831.969.0811x63123,Ukraine,54300.0,Cat,PhD,9.0,87.4,
59,,+1-243-313-9164x66159,Germany,39268.0,Bird,School,7.0,136.8,
60,Steven Fields,222-987-6726,London,42185.0,Cat,PhD,6.0,10.0,
61,,+1-658-772-4692x434,Germany,93704.0,Bird,MSc,12.0,75.1,
62,Heather Hill,308.633.4665x030,Japan,69099.0,Dog,School,10.0,10.0,
63,Joshua Hickman,+1-311-995-3784x5718,Ukraine,38571.0,Cat,MSc,5.0,10.0,
64,Patrick Bush,419-461-1676,Japan,68044.0,Bird,MSc,12.0,149.3,
65,Darrell Sutton,001-890-982-5755x0353,Ukraine,81214.0,Bird,PhD,12.0,216.8,
66,Andrew Young,283.918.4486,London,91228.0,Cat,BSc,12.0,84.0,
67,Kenneth Thomas,001-498-569-8231x740,Ukraine,78984.0,Fish,MSc,12.0,179.3,
68,Scott Rodriguez,807-824-9767,Ukraine,70774.0,Bird,MSc,12.0,106.9,
69,Susan Taylor,269-265-6257x9507,London,32568.0,Dog,MSc,5.0,10.0,
70,,+1-515-988-5716x8693,Ukraine,92592.0,Bird,BSc,12.0,128.7,
71,Jason Moss,458-793-8748,Germany,97563.0,Dog,BSc,12.0,250.0,
72,Cynthia White,(636)844-9515x3820,Italy,32695.0,Cat,MSc,5.0,29.1,
73,Holly Martinez,(982)628-5084x3010,London,78190.0,Bird,BSc,12.0,234.7,
74,Daniel Mcintosh,+1-344-738-6549x5376,Italy,35258.0,Dog,BSc,3.0,10.0,
75,Mary Frazier,(440)540-8075x0384,London,69504.0,Dog,BSc,12.0,151.7,
76,Perry Welch,5116610995,London,63159.0,Cat,School,10.0,71.9,
77,Brittney Mcdowell,+1-907-308-2873x616,Japan,43986.0,Bird,MSc,7.0,14.1,
78,Patrick Mueller,3744186315,Japan,91858.0,Bird,BSc,12.0,101.0,
79,Mr. John Calhoun DDS,9554705797,Ukraine,42666.0,Cat,School,5.0,10.0,
80,Joseph Ewing,475-868-1925,Italy,68660.0,Bird,PhD,11.0,46.7,
81,Michael Duffy,5272158727,London,33561.0,Cat,PhD,6.0,69.3,
82,Jennifer Hodges,7675013023,Ukraine,56854.0,Bird,BSc,11.0,204.6,
83,Cathy Sparks,(937)526-2949x585,Germany,94505.0,Fish,MSc,12.0,42.7,
84,Kelly Beck,8249521381,London,82251.0,Bird,BSc,12.0,10.0,
85,Randy Reed,+1-903-895-9242x8684,Germany,52662.0,Dog,PhD,8.0,10.0,
86,Timothy Woods,001-486-948-8179x0352,Ukraine,38392.0,Dog,MSc,7.0,129.9,
87,Gary Cochran,6782567799,Japan,60535.0,Fish,MSc,10.0,93.4,
88,Sarah Schroeder,001-998-355-4627,Ukraine,82256.0,Bird,PhD,12.0,29.3,
